comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,meta,is_avoided,attribute,vt_display,is_charging_arc,vt,enable_vt
23,201,5812,http://i0.hdslb.com/bfs/archive/3489567d63bf53e127163abd089a43ae391b41b9.jpg,,一个粉丝找我咨询关于肌瘤的问题,1,37岁，肌瘤要手术，月经量多，未婚，这些放在一起就有点麻烦,0,王大包是个小医生,4411167,1694493402,03:45,7,405961844,BV1mV411P7zy,False,0,0,0,0,,0,0,,False,0,0
172,208,78313,http://i2.hdslb.com/bfs/archive/f9879e8c233d7b9ad42175afea8f3f13865c8e15.jpg,,这是一个被上级修改过的抢救记录……抛砖引玉分享一下……,1,一份抢救记录就体现出我和上的差距了……,0,王大包是个小医生,4411167,1693834748,04:32,31,575565977,BV1dz4y1K74p,False,0,0,0,0,,0,0,,False,0,0
561,124,49373,http://i2.hdslb.com/bfs/archive/cfeeb4a162c1a3c4574dd05f68b9445b4461894b.jpg,,哈哈哈哈反腐来的更厉害一点吧！,1,医疗反腐？这不是过年了吗哈哈哈哈,0,王大包是个小医生,4411167,1691927474,03:33,95,744646680,BV1ur4y1Z7vy,False,0,0,0,0,,0,0,,False,0,0
2415,201,518938,http://i2.hdslb.com/bfs/archive/be69249b9fcaa3dad48720d3dbd8c3d7b7fdef10.jpg,,这个案例给小医生分享一下，大的应该不会栽进去……,1,妇科一个夜班，从医院快进到法院,0,王大包是个小医生,4411167,1689995102,04:35,1162,361221571,BV1x94y1q7c4,False,0,0,0,0,,0,0,,False,0,0
17,201,8607,http://i2.hdslb.com/bfs/archive/66c1720ca8f998baf77ae303a3dc72357d2e0e95.jpg,,本期视频主要介绍剖宫产术后如何规范的处理,1,击哔剖腹产术后的疤痕！当然是规范的方法,0,王大包是个小医生,4411167,1689411710,03:14,6,913477607,BV1cM4y147uh,False,0,0,0,0,,0,0,,False,0,0
20,21,7177,http://i1.hdslb.com/bfs/archive/57386b1751e731598c24e52de59112f2a8dc9df5.jpg,,一些生活日常，十分抱歉之前那个声音切错了……,1,好消息：下夜班了，坏消息：感冒了,0,王大包是个小医生,4411167,1689334216,02:36,25,955961268,BV1KW4y1Z7RN,False,0,0,0,0,,0,0,,False,0,0
910,208,92755,http://i0.hdslb.com/bfs/archive/fadc830555190ebd92bdc6249c2b6432076eda74.jpg,,"最近不是高考志愿嘛，发现网上说的有客观的成份也有主观的成份
我因为身边有一群医生朋友，各种生活都看在眼里，所以希望和大噶分享一下……
另外大家有时候不要看人家怎么说，多看看怎么做的，还有就是……自己可以去实地考察一下",1,想学临床医学，别把自己的路走窄了……,0,王大包是个小医生,4411167,1687865635,07:49,73,827771486,BV1Jg4y1N77o,False,0,0,0,0,,0,0,,False,0,0
1513,209,197101,http://i1.hdslb.com/bfs/archive/8f0cc5ebcd1c6124313d96af1cb0b821053fc5eb.jpg,,"很多人说学医苦，学医累，学医天打雷劈
但其实学医对普通人来说，真挺好的……",1,如果你是一个普通人，学医真的挺好的,0,王大包是个小医生,4411167,1687398767,07:32,175,272536864,BV1Nc411u7hA,False,0,0,0,0,,0,0,,False,0,0
38,239,15827,http://i1.hdslb.com/bfs/archive/41a32549b36e159dcb0a78f81af72f59b71c6043.jpg,,一个简单的下夜班,1,95后夫妻，医生下夜班的一天,0,王大包是个小医生,4411167,1671321600,04:32,24,521438532,BV11M41127Zo,False,0,0,0,0,,0,0,,False,0,0
36,239,7609,http://i0.hdslb.com/bfs/archive/5aa82f96adb332529f62470aad380bdac75de242.jpg,,120万房子是买的，430万的是租的……,1,430万的房子和130万的房子差别在哪？,0,王大包是个小医生,4411167,1669732545,05:38,17,475729939,BV1UK411R7Kr,False,0,0,0,0,,0,0,,False,0,0
